Species,Y,X
Aedes albopictus,41.6771,-71.2662
Aedes aegypti,41.4476,-71.5247
Aedes aegypti,41.5218,-71.2835
Aedes aegypti,41.5568,-71.4537
Aedes aegypti,41.6023,-71.2503
Aedes aegypti,41.6343,-71.513
Aedes aegypti,41.7407,-71.3086
Aedes aegypti,41.824,-71.4128
Aedes aegypti,41.824,-71.4128
Aedes aegypti,41.824,-71.4128
Aedes aegypti,41.4476,-71.5247
Aedes aegypti,41.5218,-71.2835
Aedes aegypti,41.824,-71.4128
Aedes aegypti,41.3776,-71.8273
Aedes aegypti,41.3776,-71.8273
Aedes albopictus,41.7001,-71.4162
Aedes albopictus,41.7407,-71.3086
Aedes albopictus,41.7407,-71.3086
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.7407,-71.3086
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.7407,-71.3086
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.74338,-71.32311
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.9749309,-71.4854388
Aedes albopictus,41.784116,-71.417087
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.74338,-71.32311
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.74338,-71.32311
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.8334561,-71.4168027
Aedes albopictus,41.816352,-71.409197
Aedes albopictus,41.598169,-71.168365
Aedes albopictus,41.83421785,-71.412753
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.83421785,-71.412753
Aedes albopictus,41.83421785,-71.412753
Aedes albopictus,41.8046252,-71.3878802
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.83421785,-71.412753
Aedes albopictus,41.8046252,-71.3878802
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.5568,-71.4537
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.8173,-71.3701
Aedes albopictus,41.1721,-71.5576
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.7037,-71.5215
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.8173,-71.3701
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.860568,-71.410512
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.1617,-71.5843
Aedes albopictus,41.891181,-71.404864
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.7798,-71.4373
Aedes albopictus,41.824,-71.4128
Aedes albopictus,41.860568,-71.410512
